,Okaloosa,454,1,30,77,346,"3,365",756,"2,472",137,0
,Orange,"5,396",53,311,"1,401","3,631","27,117","8,313","16,587","2,217",0
,Osceola,885,6,15,101,763,"5,814","2,123","3,427",264,1
,Palm Beach,"2,232",24,135,623,"1,450","16,314","4,524","10,678","1,112",69
,Pasco,"1,292",8,76,321,887,"12,773","3,673","8,504",596,71
,Pinellas,"1,119",11,124,227,757,"7,609","1,847","5,416",346,26
,Polk,"1,308",12,82,202,"1,012","10,070","3,377","6,159",534,0
,Santa Rosa,222,6,33,17,166,"1,598",508,"1,024",66,7
,Sarasota,697,3,39,140,515,"7,714","2,182","5,249",283,10
,Seminole,585,4,31,77,473,"3,361",868,"2,330",163,7
,St. Johns,494,7,9,57,421,"3,603",847,"2,608",148,13
,St. Lucie,257,6,28,42,181,"1,743",570,"1,087",86,2
,Volusia,931,11,72,99,749,"5,335","1,765","3,184",386,36
,Wakulla,86,0,10,5,71,679,138,516,25,11
FLORIDA - Nonmetropolitan Counties,Bradford,62,1,6,6,49,344,160,176,8,1
,Calhoun,12,0,1,1,10,68,20,48,0,0
,Citrus,452,7,26,49,370,"3,203",884,"2,191",128,25
,Columbia,186,0,24,13,149,"1,275",386,827,62,0
,DeSoto,172,0,5,14,153,811,317,467,27,2
,Dixie,69,1,10,4,54,524,226,270,28,3
,Franklin,96,1,13,1,81,145,31,103,11,1
,Glades,39,1,4,1,33,245,107,120,18,1
,Gulf,34,1,0,0,33,125,44,77,4,0
,Hamilton,52,1,4,9,38,211,73,129,9,2
,Hardee,57,0,12,14,31,527,192,307,28,0
,Hendry,212,3,8,35,166,"1,130",656,435,39,14
,Highlands,149,5,9,20,115,"1,736",562,"1,115",59,3
,Holmes,56,1,6,1,48,203,66,120,17,0
,Jackson,204,1,19,18,166,771,206,537,28,4
,Lafayette,20,0,0,2,18,39,11,28,0,0
,Levy,123,0,10,11,102,922,343,527,52,3
,Liberty,16,0,0,0,16,56,18,32,6,0
,Madison,123,1,5,9,108,306,125,163,18,1
,Monroe,152,5,8,19,120,"2,037",524,"1,448",65,4
,Okeechobee,193,2,14,26,151,976,490,460,26,1
,Putnam,537,1,35,68,433,"2,653","1,316","1,254",83,7
,Sumter,144,3,23,9,109,654,221,398,35,1
,Suwannee,118,4,4,6,104,553,201,306,46,5
,Taylor,50,2,3,0,45,167,89,72,6,1
,Union,55,0,2,1,52,142,73,66,3,0
,Walton,158,2,9,8,139,"1,145",374,702,69,4
,Washington,9,3,0,0,6,241,97,132,12,0
GEORGIA - Metropolitan Counties,Augusta-Richmond,"1,084",36,127,648,273,"14,303","4,222","8,530","1,551",63
,Barrow,214,4,7,5,198,"1,170",264,820,86,8
,Bartow,224,1,23,34,166,"2,470",740,"1,515",215,0
,Bibb,231,3,13,45,170,"2,520",674,"1,598",248,0
,Brantley,32,0,4,4,24,284,194,90,0,
,Brooks,43,0,0,0,43,302,113,153,36,6
,Bryan,17,0,0,5,12,353,112,229,12,0
,Burke,156,0,0,0,156,682,235,423,24,
,Butts,36,1,8,5,22,550,126,376,48,3
,Carroll,362,0,9,10,343,"1,457",480,847,130,11
,Catoosa,71,0,9,3,59,"1,047",218,706,123,2
,Chatham,0,0,0,0,0,0,0,0,0,0
,Cherokee,133,1,12,26,94,"2,010",525,"1,367",118,5
,Clarke,0,0,0,0,0,1,0,1,0,0
,Clayton,0,0,0,0,0,0,0,0,0,0
,Clayton County Police Department,"1,031",12,74,434,511,"9,418","4,266","3,849","1,303",33
,Cobb,1,0,0,0,1,0,0,0,0,
,Columbia,72,1,10,15,46,"2,323",376,"1,860",87,9
,Coweta,91,1,19,14,57,"1,436",497,845,94,6
,Crawford,33,1,4,1,27,459,141,277,41,
,Dade,37,1,4,0,32,200,49,124,27,0
,Dawson,18,0,0,0,18,478,98,344,36,2
,DeKalb,0,0,0,0,0,0,0,0,0,0
,DeKalb County Police Department,"3,469",80,155,"1,927","1,307","29,924","9,612","15,739","4,573",114
,Douglas,153,4,10,30,109,"2,108",585,"1,352",171,5
,Echols,8,1,1,1,5,45,26,18,1,0
,Effingham,57,1,29,9,18,297,201,66,30,2
,Fayette,31,0,6,7,18,555,182,333,40,0
,Floyd,34,0,0,1,33,24,14,10,0,
,Floyd County Police Department,180,2,5,9,164,"1,315",368,861,86,8
,Forsyth,202,0,13,14,175,"1,801",469,"1,252",80,
,Fulton,9,0,0,1,8,13,1,11,1,0
,Fulton County Police Department,668,9,43,307,309,"5,544","1,815","2,919",810,11
,Glynn,0,0,0,0,0,0,0,0,0,0
,Glynn County Police Department,253,2,12,61,178,"3,033",750,"2,199",84,2
,Gwinnett County Police Department,"1,675",20,176,726,753,"16,909","5,370","10,082","1,457",85
,Hall,187,3,19,45,120,"2,603",774,"1,602",227,15
,Haralson,111,0,3,6,102,397,96,278,23,
,Harris,8,0,2,2,4,407,16,380,11,
,Heard,18,0,1,1,16,172,57,94,21,
,Henry,18,0,0,0,18,123,1,119,3,
,Henry County Police Department,286,6,27,96,157,"4,051","1,255","2,416",380,17
,Jasper,15,0,2,3,10,229,87,138,4,0
,Jones,35,0,0,3,32,533,143,327,63,1
,Lanier,8,0,4,0,4,99,23,72,4,0
,Lee,14,1,0,2,11,528,168,322,38,0
,Liberty,74,1,2,11,60,431,171,230,30,
,Lowndes,37,0,4,9,24,941,279,591,71,
,Madison,159,1,1,9,148,723,207,450,66,7
,McDuffie,23,4,1,4,14,248,76,156,16,0
,McIntosh,48,2,2,11,33,461,167,256,38,7
,Meriwether,24,0,2,2,20,430,123,257,50,0
,Murray,38,0,5,2,31,759,153,543,63,0
,Muscogee,0,0,0,0,0,0,0,0,0,0
,Newton,335,2,13,33,287,"1,775",649,931,195,
,Oconee,99,0,1,6,92,531,122,375,34,0
,Oglethorpe,50,2,5,2,41,520,147,345,28,1
,Paulding,152,0,16,12,124,"2,418",617,"1,616",185,18
,Pickens,27,1,5,1,20,409,103,289,17,
,Pike,8,2,2,1,3,109,35,69,5,0
,Rockdale,325,5,13,34,273,"2,223",591,"1,458",174,6
,Spalding,127,2,11,20,94,"1,595",430,959,206,0
,Terrell,21,0,2,0,19,105,31,61,13,0
,Twiggs,12,0,0,1,11,166,54,95,17,
,Walker,208,3,2,6,197,"1,014",312,637,65,
,Walton,112,1,7,7,97,"1,007",258,664,85,0
,Whitfield,180,5,23,9,143,"1,729",479,"1,133",117,10
,Worth,2,1,0,1,0,191,56,108,27,1
GEORGIA - Nonmetropolitan Counties,Baldwin,291,0,7,16,268,994,428,552,14,0
,Banks,50,0,0,1,49,536,111,395,30,1
,Ben Hill,15,0,5,0,10,223,58,147,18,0
,Berrien,23,0,3,1,19,214,65,149,0,0
,Bleckley,12,0,0,1,11,171,69,88,14,0
,Bulloch,25,1,0,11,13,721,251,418,52,
,Calhoun,4,0,0,0,4,46,21,16,9,
,Camden,47,0,1,4,42,405,133,259,13,0
,Candler,0,0,0,0,0,54,21,33,0,0
,Charlton,9,0,1,0,8,105,40,53,12,0
,Chattooga,24,0,3,0,21,213,60,143,10,0
,Clinch,5,0,0,2,3,63,23,38,2,0
,Coffee,46,0,6,9,31,703,207,451,45,3
,Cook,21,0,0,0,21,180,51,118,11,0
,Crisp,18,0,0,0,18,380,89,276,15,0
,Decatur,28,0,2,2,24,263,72,181,10,6
,Dodge,24,1,1,2,20,395,137,247,11,1
,Dooly,16,0,0,1,15,72,22,50,0,0
,Early,24,2,1,3,18,139,40,95,4,0
,Elbert,43,0,4,4,35,690,218,449,23,0
,Emanuel,7,1,0,0,6,397,235,130,32,0
,Fannin,107,0,3,2,102,345,151,174,20,1
,Franklin,8,0,3,1,4,381,141,211,29,
,Gilmer,36,2,10,1,23,344,112,205,27,0
,Gordon,159,2,3,11,143,737,229,505,3,0
,Grady,14,1,1,2,10,196,87,97,12,0
,Greene,23,1,1,4,17,212,57,150,5,0
,Habersham,49,0,10,2,37,499,186,293,20,0
,Hancock,1,0,0,1,0,56,22,32,2,
,Hart,66,0,2,2,62,474,170,282,22,
,Irwin,6,0,0,0,6,167,55,98,14,0
,Jackson,31,3,5,5,18,915,258,605,52,
,Jeff Davis,25,0,1,6,18,323,75,217,31,0
,Jefferson,13,0,2,2,9,175,91,75,9,4
,Johnson,37,0,0,0,37,82,41,34,7,
,Laurens,39,0,2,14,23,775,186,502,87,3
,Lumpkin,80,0,3,1,76,454,117,307,30,4
,Macon,0,0,0,0,0,64,26,31,7,0
,Miller,1,0,0,0,1,44,17,23,4,0
,Mitchell,46,0,0,2,44,208,67,121,20,0
,Morgan,13,0,0,0,13,160,47,84,29,1
,Peach,20,1,2,2,15,309,109,158,42,0
,Pierce3,0,0,0,0,0,,,96,3,0
,Polk County Police Department,82,1,7,2,72,808,267,451,90,
,Putnam,52,1,2,1,48,423,148,260,15,
,Quitman,22,0,1,3,18,49,18,28,3,
,Rabun,11,1,2,0,8,148,43,90,15,0
,Schley,2,0,0,0,2,13,5,7,1,0
,Seminole,13,0,1,0,12,76,30,41,5,2
,Stephens,20,0,0,0,20,597,133,448,16,0
,Sumter,29,0,4,2,23,297,94,178,25,0
,Talbot,11,0,0,1,10,57,41,13,3,
,Taliaferro,6,0,0,0,6,72,37,32,3,0
,Tattnall,18,0,0,3,15,270,94,152,24,0
,Taylor,2,0,0,1,1,71,20,40,11,
,Telfair,10,0,0,1,9,80,33,41,6,
,Thomas,39,2,7,10,20,570,233,295,42,10
,Tift,137,1,5,28,103,817,262,504,51,
,Toombs,20,0,3,0,17,275,95,144,36,3
,Towns,7,0,0,0,7,122,55,62,5,1
,Treutlen,4,1,0,0,3,76,33,38,5,
,Troup,25,1,1,6,17,734,189,485,60,
,Turner,7,0,0,1,6,86,16,65,5,0
,Union,11,0,2,0,9,127,48,67,12,
,Upson,18,0,0,2,16,433,151,271,11,0
,Ware,36,0,11,4,21,672,167,465,40,
,Washington,28,1,1,2,24,227,112,108,7,0
,Wheeler,1,0,0,0,1,83,35,36,12,0
,White,18,0,3,2,13,325,145,158,22,
,Wilcox,4,0,2,0,2,66,25,37,4,0
,Wilkes,4,0,0,0,4,17,5,10,2,0
,Wilkinson,14,0,1,1,12,102,41,55,6,0
HAWAII - Nonmetropolitan Counties,Hawaii Police Department5,514,3,85,79,347,"5,255","1,141","3,627",487,21
,Kauai Police Department,246,2,40,18,186,"2,476",714,"1,652",110,10
IDAHO - Metropolitan Counties,Ada,119,1,16,4,98,968,246,691,31,10
,Bonneville,88,0,9,1,78,801,213,551,37,5
,Canyon,61,1,9,1,50,598,226,335,37,2
,Franklin,9,0,1,0,8,29,6,21,2,0
,Gem,13,0,0,0,13,40,20,19,1,0
,Jefferson,13,0,1,0,12,84,27,50,7,1
,Kootenai,97,2,13,4,78,"1,122",331,744,47,9
,Nez Perce,10,0,2,0,8,119,25,89,5,0
,Owyhee,13,0,4,0,9,132,26,96,10,1
,Power,2,0,2,0,0,45,5,38,2,1
IDAHO - Nonmetropolitan Counties,Adams,8,0,0,0,8,52,5,44,3,0
,Bear Lake,1,0,0,0,1,39,6,31,2,0
,Benewah,4,0,0,0,4,32,10,18,4,0
,Bingham,32,0,12,2,18,271,80,174,17,1
,Blaine,4,0,0,0,4,23,10,13,0,2
,Bonner,37,1,5,1,30,434,150,238,46,4
,Boundary,7,0,0,1,6,85,29,50,6,0
,Butte,7,0,1,1,5,2,1,1,0,0
,Camas,0,0,0,0,0,10,6,4,0,0
,Caribou,2,0,1,0,1,13,8,5,0,0
,Clearwater,16,0,0,0,16,97,17,76,4,0
,Elmore,18,0,3,0,15,48,12,31,5,0
,Fremont,4,0,0,0,4,66,3,58,5,0
,Gooding,11,0,2,0,9,46,10,31,5,0
,Idaho,8,0,2,0,6,91,19,65,7,1
,Jerome,3,0,0,0,3,70,18,45,7,0
,Latah,23,0,6,0,17,157,72,76,9,2
,Lemhi,5,0,1,0,4,37,8,25,4,1
,Lewis,5,0,0,0,5,36,13,22,1,1
,Lincoln,5,0,1,0,4,13,3,8,2,0
,Madison,9,0,6,0,3,74,24,49,1,0
,Minidoka,3,0,1,0,2,145,45,91,9,0
,Oneida,4,0,0,0,4,25,9,15,1,0
,Payette,23,0,4,1,18,102,36,60,6,0
,Shoshone,34,0,9,0,25,160,50,102,8,0
,Teton,1,0,1,0,0,78,14,62,2,2
,Twin Falls,35,0,3,1,31,205,78,104,23,6
,Valley,16,0,6,0,10,73,22,47,4,2
,Washington,2,0,0,0,2,16,9,7,0,0
ILLINOIS - Metropolitan Counties5,Bond,6,0,0,0,6,142,46,91,5,0
,Boone,21,0,5,0,16,295,72,211,12,137
,Champaign,148,4,24,5,115,531,157,350,24,13
,Clinton,9,0,5,0,4,162,19,141,2,0
,De Kalb,33,0,8,1,24,268,58,199,11,2
,Du Page,79,0,11,13,55,"1,334",296,"1,006",32,0
,Grundy,2,0,0,0,2,210,58,148,4,3
,Henry,0,0,0,0,0,79,19,56,4,0
,Jersey,28,0,9,1,18,137,31,105,1,0
,Kendall,63,1,9,3,50,399,109,283,7,7
,Lake,83,2,13,10,58,"1,714",459,"1,178",77,15
,Macon,66,0,9,0,57,432,147,273,12,1
,Macoupin,10,0,3,0,7,245,75,167,3,2
,Madison,90,1,8,5,76,"1,108",316,766,26,4
,Marshall,0,0,0,0,0,45,17,26,2,0
,McLean,42,0,15,4,23,206,67,122,17,3
,Mercer,26,0,8,0,18,152,57,88,7,0
,Peoria,180,2,40,19,119,743,180,522,41,12
,Piatt,22,0,6,0,16,121,33,85,3,1
,Rock Island,51,0,11,4,36,313,95,209,9,1
,Sangamon,170,1,29,19,121,944,406,499,39,14
,Stark,11,0,2,0,9,72,18,50,4,3
,St. Clair,85,1,23,15,46,"1,050",281,679,90,17
,Tazewell,1,0,0,0,1,243,85,142,16,1
,Vermilion,69,0,13,4,52,487,168,304,15,0
,Winnebago,120,1,22,16,81,"1,200",399,735,66,3
,Woodford,4,0,0,1,3,141,33,101,7,0
ILLINOIS - Nonmetropolitan Counties5,Adams,22,0,3,0,19,223,63,151,9,0
,Bureau,15,0,0,0,15,221,61,157,3,1
,Cass,2,0,0,0,2,64,27,36,1,0
,Christian,72,0,0,0,72,148,28,113,7,3
,Clark,3,0,0,0,3,72,33,37,2,2
