,Yell,18,0,4,2,12,164,70,82,12,2,,
CALIFORNIA - Metropolitan Counties,Alameda,725,3,26,218,478,"2,192",650,991,551,19,,
,Butte,106,2,13,23,68,"1,310",560,744,6,3,,
,Contra Costa,456,13,30,109,304,"2,475","1,033","1,423",19,18,,
,El Dorado,192,2,21,21,148,"2,273","1,020","1,241",12,10,,
,Fresno,740,6,23,125,586,"4,781","1,618","2,331",832,,,
,Imperial,110,0,4,6,100,676,255,399,22,7,,
,Kern,"1,822",22,108,358,"1,334","10,198","3,301","5,378","1,519",282,,
,Kings,137,2,13,15,107,683,242,386,55,7,,
,Los Angeles,"5,595",88,165,"1,484","3,858","16,010","4,624","7,730","3,656",222,,
,Madera,311,4,10,20,277,"1,634",836,778,20,11,,
,Marin,122,0,8,22,92,739,263,473,3,5,,
,Merced,459,2,22,41,394,"2,319",767,"1,538",14,6,,
,Monterey,197,8,19,44,126,"1,290",504,781,5,18,,
,Napa,52,2,2,1,47,371,125,243,3,4,,
,Orange,251,1,11,42,197,"1,301",277,935,89,3,,
,Placer,301,4,25,28,244,"1,946",622,"1,293",31,3,,
,Riverside,903,13,47,188,655,"8,872","2,673","4,884","1,315",18,,
,Sacramento,"2,719",33,144,959,"1,583","11,797","4,150","7,539",108,77,,
,San Benito,38,1,6,0,31,268,93,161,14,1,,
,San Bernardino,"1,081",18,57,178,828,"6,207","2,202","2,879","1,126",94,,
,San Diego,"1,397",18,84,218,"1,077","5,851","1,725","3,202",924,27,,
,San Joaquin,820,23,20,164,613,"4,767","1,802","2,831",134,22,,
,San Luis Obispo,208,1,26,13,168,"1,356",481,872,3,3,,
,San Mateo,219,0,18,32,169,"1,976",312,"1,464",200,9,,
,Santa Barbara,255,1,34,30,190,"1,539",487,"1,045",7,12,,
,Santa Clara,186,4,30,39,113,"1,487",316,"1,025",146,2,,
,Santa Cruz,362,3,34,36,289,"2,301",913,"1,382",6,10,,
,Shasta,524,2,32,22,468,970,512,430,28,1,,
,Solano,95,3,4,18,70,423,195,207,21,8,,
,Sonoma,511,5,36,48,422,"1,306",490,802,14,13,,
,Stanislaus,323,16,15,77,215,"2,404","1,135","1,222",47,61,,
,Sutter,132,3,8,4,117,847,210,589,48,6,,
,Tulare4,517,20,31,68,398,,"1,200","2,191",,31,,
,Ventura,155,2,10,23,120,"1,124",273,795,56,17,,
,Yolo,82,0,9,4,69,408,125,273,10,7,,
,Yuba,230,3,18,29,180,"1,323",457,858,8,5,,
CALIFORNIA - Nonmetropolitan Counties,Alpine,7,0,0,0,7,105,20,84,1,0,,
,Amador,54,1,5,4,44,598,187,401,10,4,,
,Calaveras,102,1,14,8,79,974,314,655,5,0,,
,Colusa,28,1,2,1,24,281,91,186,4,2,,
,Del Norte,99,2,18,7,72,427,242,180,5,6,,
,Glenn,11,2,0,2,7,169,61,105,3,2,,
,Humboldt,203,2,21,46,134,"1,109",436,646,27,14,,
,Inyo,52,1,7,3,41,141,54,85,2,5,,
,Lake,169,1,18,20,130,704,315,383,6,10,,
,Lassen,39,1,5,2,31,143,56,86,1,3,,
,Mariposa,55,0,5,1,49,342,128,214,0,1,,
,Mendocino,295,7,13,23,252,544,247,297,0,10,,
,Modoc,24,0,7,1,16,93,36,53,4,3,,
,Mono,11,0,1,0,10,67,21,46,0,0,,
,Nevada,166,2,10,6,148,533,226,301,6,1,,
,Plumas,104,1,14,3,86,356,124,231,1,7,,
,Sierra,5,0,0,0,5,55,17,38,0,2,,
,Siskiyou,71,2,10,4,55,228,102,124,2,1,,
,Tehama,184,1,5,8,170,316,134,182,0,6,,
,Trinity,34,3,5,1,25,100,63,37,0,0,,
,Tuolumne,75,1,13,13,48,731,354,371,6,18,,
COLORADO - Metropolitan Counties,Adams,385,2,57,59,267,"2,413",622,"1,431",360,20,,
,Arapahoe,236,0,29,45,162,"1,313",350,856,107,19,,
,Boulder,65,1,11,1,52,554,164,360,30,16,,
,Clear Creek,17,0,4,0,13,68,30,33,5,1,,
,Douglas,312,2,197,15,98,"1,812",406,"1,317",89,21,,
,El Paso,486,2,62,15,407,"2,097",604,"1,314",179,27,,
,Gilpin,2,0,1,0,1,25,5,19,1,0,,
,Jefferson,127,0,20,18,89,"2,323",437,"1,779",107,15,,
,Larimer,107,0,18,3,86,973,252,669,52,21,,
,Mesa,181,1,15,12,153,"1,201",292,842,67,6,,
,Park,7,0,0,0,7,110,37,61,12,1,,
,Pueblo,28,1,0,6,21,"1,545",331,"1,157",57,0,,
,Teller,23,1,1,0,21,78,34,43,1,1,,
,Weld,185,5,17,8,155,772,252,435,85,9,,
COLORADO - Nonmetropolitan Counties,Alamosa,1,0,0,0,1,37,10,27,0,0,,
,Archuleta,15,3,2,0,10,10,4,5,1,0,,
,Bent,2,0,0,1,1,26,7,19,0,1,,
,Chaffee,8,0,2,0,6,89,16,68,5,1,,
,Cheyenne,0,0,0,0,0,3,0,3,0,0,,
,Crowley,4,0,0,0,4,0,0,0,0,0,,
,Custer,7,0,0,0,7,33,8,23,2,0,,
,Delta,19,0,7,0,12,120,25,86,9,2,,
,Dolores,3,0,1,0,2,22,13,7,2,0,,
,Eagle,25,0,4,0,21,386,90,296,0,4,,
,Fremont,36,0,0,1,35,237,96,131,10,2,,
,Grand,10,0,0,0,10,89,10,79,0,0,,
,Gunnison,8,0,0,0,8,32,7,23,2,0,,
,Hinsdale,1,0,0,0,1,12,4,8,0,0,,
,Huerfano,3,0,0,0,3,8,4,4,0,0,,
,Kit Carson,2,0,0,0,2,16,2,11,3,0,,
,Las Animas,0,0,0,0,0,0,0,0,0,0,,
,Lincoln,4,2,0,0,2,0,0,0,0,0,,
,Logan,10,0,2,1,7,110,45,57,8,0,,
,Moffat,4,0,1,0,3,20,8,7,5,1,,
,Montezuma,31,0,2,0,29,163,60,93,10,1,,
,Montrose,36,2,5,0,29,155,36,102,17,0,,
,Morgan,2,0,0,1,1,40,8,30,2,0,,
,Otero,5,0,0,1,4,62,26,36,0,2,,
,Ouray,3,0,0,0,3,12,3,8,1,0,,
,Phillips,0,0,0,0,0,3,1,2,0,0,,
,Pitkin,14,0,0,0,14,50,5,44,1,0,,
,Prowers,8,0,1,0,7,20,8,12,0,0,,
,Rio Grande,4,0,1,1,2,53,11,38,4,2,,
,Routt,12,0,0,0,12,77,21,54,2,1,,
,San Juan,2,0,0,0,2,25,1,19,5,1,,
,San Miguel,0,0,0,0,0,20,7,12,1,1,,
,Sedgwick,7,0,0,0,7,19,5,13,1,0,,
,Washington,14,0,3,0,11,82,21,57,4,0,,
DELAWARE - Metropolitan Counties,New Castle County Police Department,"1,122",5,55,341,721,"6,117","1,983","3,711",423,5,,
FLORIDA - Metropolitan Counties,Alachua,581,4,35,84,458,"2,495",794,"1,592",109,12,,
,Baker,46,0,4,6,36,312,43,258,11,1,,
,Bay,344,4,38,53,249,"2,728",716,"1,848",164,5,,
,Brevard,991,6,66,132,787,"5,845","1,458","4,170",217,19,,
,Broward,291,2,15,73,201,"1,043",260,731,52,8,,
,Charlotte,381,2,31,50,298,"3,710","1,089","2,521",100,14,,
,Clay,665,5,32,94,534,"4,269",883,"3,245",141,28,,
,Collier,956,9,42,208,697,"5,250","1,373","3,683",194,14,,
,Escambia,"1,782",14,140,463,"1,165","10,728","2,600","7,543",585,29,,
,Flagler,227,1,13,26,187,"1,751",408,"1,287",56,6,,
,Gadsden,88,1,6,12,69,340,150,184,6,0,,
,Gilchrist,31,1,1,1,28,221,84,131,6,0,,
,Hernando,495,8,33,69,385,"4,724","1,321","3,241",162,17,,
,Hillsborough,"2,130",28,133,530,"1,439","19,487","5,104","13,190","1,193",41,,
,Indian River,351,3,25,62,261,"2,728",778,"1,869",81,5,,
,Jefferson,79,0,5,1,73,171,91,65,15,3,,
,Lake,562,6,27,48,481,"3,488","1,159","2,090",239,10,,
,Lee,"1,198",15,59,373,751,"10,134","3,593","6,064",477,48,,
,Leon,323,4,18,48,253,"1,629",699,837,93,16,,
,Manatee,"1,518",12,88,348,"1,070","9,911","2,532","7,029",350,2,,
,Marion,"1,292",9,135,79,"1,069","4,952","1,733","3,000",219,7,,
,Martin,300,1,16,84,199,"2,922",690,"2,140",92,8,,
,Miami-Dade,"6,913",90,311,"1,848","4,664","44,395","9,324","30,843","4,228",12,,
,Nassau,85,0,0,8,77,"1,153",325,764,64,2,,
,Okaloosa,557,1,38,69,449,"3,346",637,"2,569",140,2,,
,Orange,"5,325",56,284,"1,345","3,640","27,348","8,705","16,344","2,299",2,,
,Osceola,866,2,36,91,737,"5,408","1,691","3,469",248,1,,
,Palm Beach,"2,122",14,120,590,"1,398","15,418","4,269","10,031","1,118",84,,
,Pasco,"1,190",11,79,261,839,"12,380","3,436","8,373",571,80,,
,Pinellas,"1,018",8,121,164,725,"7,019","1,817","4,887",315,27,,
